LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,TotRmsAbvGrd,GarageArea,PoolArea,SalePrice
60,7200,6,6,1910,1214,1260,1031,2291,9,506,0,133900
69,9337,6,5,1997,824,905,881,1786,7,684,0,204750
NA,9765,6,8,1993,680,680,790,1470,6,420,0,185000
78,10264,7,5,1999,1588,1588,0,1588,6,472,0,214000
73,10921,4,5,1965,960,960,0,960,6,432,0,94750
85,10625,5,5,1920,458,835,0,835,5,366,0,83000
77,9320,4,5,1959,950,1225,0,1225,6,0,0,128950
NA,10603,6,7,1977,1610,1610,0,1610,6,480,0,205000
77,9206,6,5,1985,741,977,755,1732,7,476,0,178000
64,7018,5,5,1979,0,1535,0,1535,8,410,0,118964
94,10402,7,5,2009,1226,1226,0,1226,6,740,0,198900
NA,7758,7,4,1931,1040,1226,592,1818,7,240,0,169500
75,9375,8,5,2003,1053,1053,939,1992,9,648,0,250000
60,10800,4,7,1885,641,1047,0,1047,6,273,0,100000
50,6000,5,5,1948,789,789,0,789,5,250,0,115000
85,8500,5,7,1919,793,997,520,1517,7,0,0,115000
105,11751,6,6,1977,1844,1844,0,1844,7,546,0,190000
75,9525,6,4,1954,994,1216,639,1855,7,325,0,136900
NA,7750,7,5,2000,384,774,656,1430,7,400,0,180000
77,9965,7,5,2007,1264,1282,1414,2696,10,792,0,383970
NA,21000,6,5,1953,1809,2259,0,2259,7,450,0,217000
61,7259,6,8,1945,1028,1436,884,2320,9,180,0,259500
34,3230,6,5,1999,729,729,729,1458,5,440,0,176000
NA,11616,5,5,1962,1092,1092,0,1092,6,288,0,139000
74,8536,5,5,2006,1125,1125,0,1125,5,430,0,155000
90,12376,7,5,1990,1673,1699,1523,3222,11,594,0,320000
65,8461,6,5,2005,728,728,728,1456,8,390,0,163990
NA,21453,6,5,1969,938,988,0,988,4,540,0,180000
50,6060,4,5,1939,732,772,351,1123,4,264,0,100000
75,9464,6,7,1958,1080,1080,0,1080,5,288,0,136000
55,7892,6,5,1993,1199,1199,0,1199,5,530,0,153900
48,17043,6,5,1979,1362,1586,0,1586,7,435,0,181000
60,6780,6,8,1935,520,520,0,754,5,0,0,84500
NA,4928,6,5,1976,1078,958,0,958,5,440,0,128000
55,4388,5,7,1930,672,840,0,840,5,0,0,87000
69,7590,6,5,1966,660,660,688,1348,6,453,0,155000
69,8973,5,7,1958,1008,1053,0,1053,6,750,0,150000
88,14200,7,6,1966,924,1216,941,2157,8,487,0,226000
NA,12224,6,5,2000,992,1022,1032,2054,7,390,0,244000
75,7388,5,6,1959,1063,1327,0,1327,7,624,0,150750
NA,6853,8,5,2001,1267,1296,0,1296,6,471,0,220000
78,10335,5,6,1968,1461,1721,0,1721,7,440,0,180000
80,10400,7,6,1970,1304,1682,0,1682,7,530,0,174000
NA,10355,5,5,1967,1214,1214,0,1214,5,318,0,143000
82,11070,7,5,1988,1907,1959,0,1959,9,766,0,171000
73,9066,8,5,1999,1004,1004,848,1852,7,660,0,230000
65,15426,6,5,1997,928,928,836,1764,7,470,0,231500
70,10500,4,5,1971,864,864,0,864,5,0,0,115000
78,11645,7,5,2005,1734,1734,0,1734,7,660,0,260000
71,8520,5,4,1952,910,910,475,1385,6,720,0,166000
78,10335,7,5,1999,1490,1501,0,1501,6,577,0,204000
70,9100,5,5,1963,1728,1728,0,1728,10,504,0,125000
24,2522,6,5,2004,970,970,739,1709,7,380,0,130000
51,6120,5,7,1931,715,875,0,875,5,180,0,105000
NA,9505,7,5,2001,884,884,1151,2035,8,434,0,222500
63,7500,7,5,2004,1080,1080,0,1080,6,0,0,141000
NA,6240,5,4,1936,896,896,448,1344,7,240,0,115000
120,10356,5,6,1975,969,969,0,969,5,440,0,122000
107,13891,8,5,2007,1710,1710,0,1710,6,866,0,372402
NA,14803,6,5,1971,825,1097,896,1993,8,495,0,190000
NA,13500,6,7,1960,1602,1252,0,1252,4,564,0,235000
84,11340,6,5,1923,1200,1200,0,1200,7,312,0,125000
60,9600,6,5,1924,572,572,524,1096,5,0,0,79000
60,7200,5,7,1950,0,1040,0,1040,5,625,0,109500
92,12003,8,5,2009,774,774,1194,1968,8,680,0,269500
100,12552,7,5,2004,991,991,956,1947,8,678,0,254900
134,19378,7,5,2005,1392,1392,1070,2462,9,576,0,320000
NA,11120,6,6,1984,1232,1232,0,1232,6,516,0,162500
110,13688,9,5,2003,1572,1572,1096,2668,10,726,0,412500
95,12182,7,5,2005,1541,1541,0,1541,7,532,0,220000
55,5500,4,6,1956,882,882,0,882,4,0,0,103200
40,5400,6,7,1926,1149,1149,467,1616,5,216,0,152000
62,10106,5,7,1940,644,808,547,1355,6,0,0,127500
NA,10708,5,5,1955,1617,1867,0,1867,7,303,0,190000
86,10562,8,5,2007,1582,1610,551,2161,8,789,0,325624
62,8244,7,5,2004,840,840,880,1720,7,440,0,183500
NA,16669,8,6,1981,1686,1707,0,1707,6,511,0,228000
NA,12358,5,6,1941,720,854,0,1382,7,660,0,128500
141,31770,6,5,1960,1080,1656,0,1656,7,528,0,215000
44,5306,7,7,1987,1064,1064,703,1767,5,504,0,239000
80,10197,6,5,1961,1362,1362,0,1362,6,504,0,163000
47,12416,6,5,1986,1606,1651,0,1651,7,616,0,184000
84,12615,6,7,1950,1202,2158,0,2158,7,576,0,243000
97,10029,6,5,1988,1151,1164,896,2060,8,521,0,211000
NA,13650,5,5,1958,1052,1252,668,1920,8,451,0,172500
63,17423,9,5,2008,2216,2234,0,2234,9,1166,0,501837
60,8520,5,6,1923,968,968,0,968,5,480,0,100000
NA,2117,6,5,2000,756,769,756,1525,5,440,0,177000
54,7588,7,6,1920,793,901,901,1802,9,216,0,200100
60,9060,5,6,1957,0,1340,0,1340,7,252,0,120000
63,11426,7,5,2003,1362,1362,720,2082,6,484,0,200000
92,7438,5,8,1908,504,936,316,1252,5,576,0,127000
90,22950,10,9,1892,1107,1518,1518,3608,12,840,0,475000
NA,9947,7,5,1990,1188,1217,0,1217,6,497,0,173000
60,10410,5,7,1916,660,808,704,1656,8,180,0,135000
64,7018,5,5,1979,1086,1224,0,1224,6,528,0,153337
41,4923,8,5,2001,1593,1593,0,1593,5,682,0,286000
70,10570,8,8,1932,853,1549,1178,2727,10,440,0,315000
NA,7472,7,9,1972,725,725,754,1479,7,484,0,184000
68,9017,7,5,1999,1431,1431,0,1431,6,666,0,192000
24,2522,7,5,2004,970,970,739,1709,7,380,0,130000
60,7180,5,7,1972,864,864,0,864,5,352,0,127000
24,2280,6,6,1976,855,855,601,1456,7,440,0,148500
79,9416,7,5,2007,1726,1726,0,1726,8,786,0,311872
174,25419,8,4,1918,1360,1360,1360,3112,8,795,512,235000
92,5520,6,6,1912,755,929,929,2229,8,0,0,104000
76,9591,8,5,2004,1713,1713,0,1713,7,856,0,274900
80,8546,4,5,2003,1121,1121,0,1121,5,440,0,140000
75,10125,6,6,1977,1196,1279,0,1279,6,473,0,171500
50,7000,6,6,1924,617,865,445,1310,6,398,0,112000
NA,4438,6,5,2004,848,848,0,848,3,420,0,149000
50,3500,5,7,1947,720,720,564,1284,5,240,0,110000
99,11851,7,5,1990,1424,1442,0,1442,5,500,0,180500
40,13673,5,5,1962,1140,1696,0,1696,8,349,0,143900
NA,12493,4,5,1960,1100,1100,0,1100,6,312,0,141000
NA,14364,7,5,1988,1157,1180,882,2062,7,454,0,277000
75,8250,6,7,1964,1092,1092,0,1092,6,504,0,145000
67,5604,5,6,1925,864,864,0,864,5,0,0,98000
83,10420,6,5,2009,1212,1212,0,1212,6,460,0,186000
72,8640,7,5,2009,900,932,920,1852,7,644,0,252678
43,13568,5,5,1995,990,990,0,990,5,576,0,156000
NA,10900,6,7,1977,689,689,703,1392,6,299,0,161750
72,10011,5,6,1957,1070,1236,0,1236,6,447,0,134450
65,8450,7,5,2004,1436,1436,0,1436,8,484,0,210000
57,9906,4,4,1925,686,810,518,1328,8,210,0,107000
NA,15660,7,9,1939,798,1137,817,1954,8,431,0,311500
43,3010,7,5,2005,1248,1248,0,1248,5,438,0,167240
73,8990,7,5,2006,1498,1498,0,1498,5,675,0,204900
NA,8068,6,5,2002,1010,1010,1257,2267,8,390,0,200000
85,11475,6,6,1975,713,811,741,1552,6,434,0,179900
70,10500,4,6,1971,864,864,0,864,4,576,0,97000
103,13472,10,5,2003,2392,2392,0,2392,8,968,0,386250
21,1680,5,5,1971,630,630,672,1302,6,280,0,112000
82,9950,7,5,1995,1203,1214,1306,2520,9,721,0,290000
21,1869,6,6,1970,483,483,504,987,5,280,0,106000
70,8521,5,5,1967,912,912,0,912,5,336,0,125000
43,3182,7,5,2005,1373,1555,0,1555,7,430,0,192500
73,8760,6,6,1959,1194,1194,0,1194,6,312,0,148000
174,15138,8,5,1995,1462,1490,1304,2794,9,810,0,403000
21,1680,6,5,1972,483,483,504,987,5,288,0,94500
75,10650,5,6,1976,894,894,0,894,5,308,0,128200
NA,7851,6,5,2002,860,860,1100,1960,8,440,0,216500
21,1680,6,3,1971,483,483,504,987,5,264,0,89500
65,8773,7,5,2004,1414,1414,0,1414,6,494,0,185500
NA,9453,7,7,1993,996,1014,730,1744,7,457,0,194500
93,12030,8,5,2007,1694,1694,0,1694,7,818,0,318000
52,8741,6,4,1945,735,798,689,1487,7,220,0,113000
75,9000,8,5,2008,1566,1566,0,1566,7,750,0,262500
40,3880,5,9,1945,686,866,0,866,4,0,0,110500
63,5000,5,4,1900,540,889,551,1440,6,352,0,79000
75,10762,6,6,1980,626,626,591,1217,6,288,0,120000
NA,8880,7,5,1994,948,1222,888,2110,8,463,0,205000
80,10400,7,5,1988,1845,1872,0,1872,6,604,0,241500
69,9142,6,8,1910,1020,908,1020,1928,9,440,0,137000
75,11310,6,5,1954,1367,1375,0,1375,5,451,0,140000
72,11317,7,5,2003,840,840,828,1668,8,500,0,180000
NA,159000,6,7,1958,1444,1444,700,2144,7,389,0,277000
55,5350,3,2,1940,728,1306,0,1306,6,0,0,76500
44,4750,8,5,2006,1573,1625,0,1625,5,538,0,235000
65,8366,6,5,2004,798,798,842,1640,6,520,0,173000
85,9350,6,7,1964,1302,1302,0,1302,7,309,0,158000
70,8400,5,6,1957,1314,1314,0,1314,5,294,0,145000
66,8738,7,5,1999,975,1005,1286,2291,8,429,0,230000
64,8791,6,5,2003,864,864,864,1728,7,673,0,207500
68,8814,7,5,2006,1604,1604,0,1604,8,660,0,220000
80,12435,7,5,2001,963,963,829,1792,7,564,0,231500
70,12702,5,5,1956,0,882,0,882,4,308,0,97000
120,19296,6,5,1962,1362,1382,0,1382,6,884,0,176000
69,9588,8,5,2007,1482,1482,1092,2574,10,868,0,276000
88,8471,6,7,1977,506,1212,0,1212,6,492,0,151000
50,5500,5,7,1929,926,926,0,1316,6,484,0,130000
30,5232,5,5,1925,680,764,0,764,4,504,0,73000
78,12090,6,6,1981,1422,1422,0,1422,7,576,0,175500
70,11207,6,5,1997,802,802,709,1511,8,413,0,185000
60,8400,5,8,1939,720,1052,720,2192,8,240,0,179500
71,6900,5,6,1940,740,778,0,778,4,924,0,120500
NA,7917,6,7,1976,1143,1113,0,1113,6,504,0,148000
84,10728,8,5,2006,1095,1095,844,1939,8,1053,0,266000
73,39104,7,7,1954,1385,1363,0,1363,5,439,0,241500
92,11764,8,7,1999,1152,1164,1106,2270,9,671,0,290000
80,9600,6,6,1958,1240,1632,0,1632,6,338,0,139000
76,8314,5,7,1982,816,816,0,816,5,264,0,124500
55,7264,7,7,1925,952,952,596,1548,5,672,0,205000
129,9196,7,5,2003,1560,1560,0,1560,7,573,0,201000
140,19138,4,5,1951,864,864,0,864,4,400,0,141000
107,14450,9,5,2006,2121,2121,0,2121,8,732,0,415298
83,10005,7,5,1977,1160,1156,866,2022,8,505,0,192000
82,11287,7,6,1989,807,1175,807,1982,7,575,0,228500
60,7200,6,5,2006,1262,1262,0,1262,5,572,0,185000
34,5063,7,5,2007,1314,1314,0,1314,6,626,0,207500
74,9612,8,5,2008,1468,1468,0,1468,6,898,0,244600
50,8012,6,5,1992,1575,1575,0,1575,5,529,0,179200
35,4251,7,5,2006,625,625,625,1250,5,528,0,164700
77,9786,6,7,1962,912,1085,649,1734,7,440,0,159000
NA,8125,4,4,1971,858,858,0,858,5,0,0,88000
NA,9819,5,5,1967,882,900,0,900,5,280,0,122000
60,8730,6,7,1915,698,698,698,1396,7,384,0,153575
120,15611,8,5,2006,1079,1079,840,1919,8,685,0,233230
55,5687,5,6,1912,780,936,780,1716,9,0,0,135900
60,11409,5,4,1949,768,1148,568,1716,8,281,0,131000
NA,16659,7,7,1977,795,1468,795,2263,9,539,0,235000
80,9600,6,5,1953,1416,1644,0,1644,7,418,0,167000
37,7937,6,6,1984,1003,1003,0,1003,6,588,0,142500
75,13710,5,5,1950,910,910,648,1558,6,282,0,152000
66,7399,7,5,1997,975,975,975,1950,7,576,0,239000
90,11700,6,6,1968,702,1041,702,1743,7,539,0,175000
80,14000,6,8,1950,1092,1152,0,1152,6,300,0,158500
90,15750,5,5,1953,1165,1336,0,1336,5,375,0,157000
66,16226,8,5,1998,1028,1210,1242,2452,9,683,0,267000
118,13704,7,5,2001,1541,1541,0,1541,6,843,0,205000
70,9800,5,7,1972,894,894,0,894,5,552,0,149900
87,18386,7,9,1880,1470,1675,1818,3493,10,870,0,295000
80,10386,8,5,2004,2000,2000,0,2000,8,888,0,305900
116,13474,7,5,1990,700,1122,1121,2243,8,746,0,225000
NA,7920,6,7,1920,319,1035,371,1406,6,0,0,89500
NA,12342,4,5,1940,861,861,0,861,4,539,0,82500
90,12378,9,5,2003,1896,1944,0,1944,8,708,0,360000
NA,7685,6,5,1993,697,697,804,1501,6,420,0,165600
50,8000,6,6,1948,972,972,0,972,5,240,0,132000
65,7800,5,7,1939,793,793,325,1118,5,410,0,119900
150,215245,7,5,1965,2136,2036,0,2036,8,513,0,375000
60,9600,7,7,1925,728,832,809,1641,6,546,0,178000
71,7795,7,5,2004,716,716,716,1432,6,432,0,188500
94,13005,7,7,1980,845,1153,1200,2353,10,484,0,260000
75,9000,8,5,2006,1088,1088,871,1959,8,1025,0,270000
90,9900,7,5,1993,1347,1372,1274,2646,9,656,0,260000
NA,14115,7,5,1980,1372,1472,0,1472,6,588,0,187500
111,16259,9,5,2006,1249,1249,1347,2596,9,840,0,342643
99,12099,8,5,2004,1136,1136,1332,2468,10,872,0,354000
86,10380,7,5,1986,1502,1553,1177,2730,8,576,0,301000
49,5820,3,8,1955,1162,1163,0,1163,6,220,0,126175
96,11275,7,7,1967,710,1898,1080,2978,11,564,0,242000
50,5000,5,6,1941,720,803,0,803,5,360,0,87000
32,10846,8,5,1993,1719,1719,0,1719,6,473,0,324000
80,11600,6,5,1960,1383,1383,0,1383,7,292,0,145250
NA,11888,6,6,1916,844,1445,689,2134,10,441,0,214500
60,6402,5,5,1920,596,596,596,1192,6,189,0,78000
NA,10624,5,4,1964,1728,1728,0,1728,10,352,0,119000
70,8176,5,6,1958,1056,1056,0,1056,6,308,0,139000
85,10655,8,5,2003,3206,1629,0,1629,7,880,0,284000
59,8198,7,5,2004,1358,1358,0,1358,6,484,0,207000
59,9042,6,5,1998,943,943,695,1638,7,472,0,192000
NA,164660,5,6,1965,1499,1619,167,1786,7,529,0,228950
86,14157,9,5,2005,1922,1922,0,1922,8,676,0,377426
70,9135,7,5,2002,1536,1536,0,1536,7,532,0,214000
91,14145,7,7,1984,1208,1621,0,1621,8,440,0,202500
66,12400,6,7,1958,1215,1215,0,1215,6,297,0,155000
85,14191,8,5,2002,967,993,915,1908,9,431,0,202900
60,8400,4,4,1950,721,841,0,841,4,294,0,82000
NA,8544,3,4,1949,0,1040,0,1040,6,400,0,87500
63,8849,9,5,2005,1684,1684,0,1684,6,564,0,266000
36,2592,5,3,1976,536,536,576,1112,4,336,0,85000
65,6435,6,5,1939,972,972,605,1577,6,312,0,140200
NA,12772,6,8,1960,958,958,0,958,5,301,0,151500
NA,17600,6,5,1960,1478,1478,0,1478,6,498,0,157500
36,2448,7,5,2003,764,764,862,1626,6,474,0,154000
56,20431,9,5,2005,1848,1848,880,2728,10,706,0,437154
68,7820,9,5,2007,1869,1869,0,1869,6,617,0,318061
NA,5271,7,5,1986,1453,1453,0,1453,6,445,0,190000
60,9084,5,6,1941,616,616,495,1111,5,200,0,95000
60,8520,6,8,1928,624,720,0,720,5,484,0,105900
60,8400,6,5,1940,940,1192,403,1595,6,240,0,140000
105,11249,6,5,1995,1200,1200,0,1200,6,521,0,177500
NA,9248,6,6,1992,1158,1167,0,1167,6,400,0,173000
44,4224,5,5,1976,1142,1142,0,1142,6,528,0,134000
92,6930,5,4,1958,1062,1352,0,1352,6,288,0,130000
78,12011,8,5,1998,1086,1086,838,1924,7,592,0,280000
NA,7540,6,6,1978,888,912,0,912,5,470,0,156000
NA,9144,5,5,1940,883,988,517,1505,8,240,0,145000
64,7301,7,5,2003,0,495,1427,1922,7,672,0,198500
21,1680,6,8,1972,483,483,504,987,5,264,0,118000
NA,18800,6,5,1976,796,790,784,1574,6,566,0,190000
59,10690,5,7,1920,672,672,672,1344,6,468,0,147000
NA,9500,6,5,1963,1394,1394,0,1394,6,514,0,159000
101,9150,6,5,1962,1099,1431,0,1431,6,296,0,165000
78,7800,5,6,1954,1268,1268,0,1268,7,244,0,132000
NA,9830,5,7,1959,1063,1287,0,1287,7,576,0,162000
NA,8121,6,5,2000,953,953,711,1664,7,460,0,172400
80,17120,4,4,1959,0,1120,468,1588,7,680,0,134432
50,7175,6,5,1984,744,752,0,752,4,264,0,125000
79,10634,5,6,1953,608,1319,0,1319,5,270,0,123000
65,8200,7,5,2003,847,847,1081,1928,8,434,0,219500
NA,10020,1,1,1922,683,904,0,904,4,0,0,61000
57,8846,5,5,1996,870,914,0,914,5,576,0,148000
102,11143,8,5,2004,1580,1580,886,2466,8,610,0,340000
88,11394,9,2,2010,1856,1856,0,1856,8,834,0,394432
60,8123,6,5,2000,982,1007,793,1800,7,463,0,179000
50,5000,5,6,1924,1026,1026,665,1691,6,308,0,127000
60,7200,7,5,2006,1293,1301,0,1301,5,572,0,187750
79,9245,7,5,2006,939,939,858,1797,8,639,0,213500
60,9000,6,3,1928,784,784,0,784,5,360,0,76000
NA,53107,6,5,1992,1580,1079,874,1953,9,501,0,240000
43,3182,8,5,2004,1256,1269,0,1269,6,430,0,192000
58,8410,5,3,1910,658,658,526,1184,8,0,0,81000
72,7200,6,6,1976,1041,1125,0,1125,6,352,0,125000
93,9382,7,5,1999,1468,1479,0,1479,6,577,0,191000
96,12474,10,5,2007,1682,1742,590,2332,9,846,0,426000
50,8405,5,8,1900,861,961,406,1367,7,384,0,119000
71,12209,6,5,2001,804,804,1157,1961,7,560,0,215000
NA,8339,5,7,1959,0,882,0,882,5,294,0,106500
NA,7446,4,5,1941,788,788,0,788,4,0,0,100000
60,10134,5,6,1940,735,735,299,1034,5,240,0,109000
68,9571,5,6,1956,1144,1144,0,1144,6,596,0,129000
60,7200,5,5,1972,894,894,0,894,6,600,0,123000
69,7590,5,5,1962,864,876,936,1812,8,264,0,169500
60,8967,5,2,1920,961,1077,0,1077,6,338,0,67000
65,8125,7,5,2006,1092,1112,438,1550,7,438,0,241000
38,14963,8,5,1996,1260,1288,0,1288,4,500,0,245500
65,8767,7,5,2005,1310,1310,0,1310,6,400,0,164990
60,10200,5,8,1940,672,672,0,672,4,240,0,108000
93,12090,8,5,1998,1141,1165,1098,2263,10,420,0,258000
NA,10364,6,5,1995,806,806,766,1572,7,373,0,168000
NA,9991,4,4,1976,1281,1620,0,1620,8,490,0,150000
51,10480,6,5,1936,1064,1166,0,1639,6,240,0,115000
63,15576,6,7,1915,840,840,840,1680,8,308,0,177000
109,14154,7,5,2006,1063,1071,1101,2172,9,947,0,280000
85,10800,8,5,2007,1034,1050,1028,2078,8,836,0,339750
68,9571,5,3,1958,1276,1276,0,1276,5,350,0,60000
100,34650,5,5,1955,1056,1056,0,1056,5,572,0,145000
NA,4403,7,5,2009,1470,1478,0,1478,7,484,0,222000
56,8960,5,6,1927,1008,1028,0,1028,5,360,0,115000
59,11228,7,5,1993,1080,1080,1017,2097,9,678,0,228000
73,8899,7,5,2007,1340,1340,0,1340,6,396,0,181134
74,7844,6,7,1978,672,672,728,1400,6,440,0,149500
86,22420,6,6,1918,1370,1370,1254,2624,10,864,0,239000
60,8160,5,6,1940,756,756,378,1134,7,240,0,126000
65,8450,5,6,1968,1056,1056,0,1056,6,304,0,142000
78,7060,7,5,1997,1344,1344,0,1344,8,784,0,206300
NA,16635,6,7,1977,1602,1602,0,1602,8,529,0,215000
100,21750,5,5,1954,988,988,0,988,4,520,0,113000
80,9200,8,5,1998,1470,1470,1160,2630,8,696,0,315000
72,9000,6,5,1956,1196,1196,0,1196,6,297,0,139000
60,3378,7,8,1946,651,707,682,1389,6,240,0,135000
NA,12800,7,5,1989,1518,1644,0,1644,5,569,0,275000
77,8593,4,6,1957,907,907,0,907,5,352,0,109008
64,6762,7,5,2007,1208,1208,0,1208,6,628,0,195400
130,11457,6,5,1988,1392,1412,0,1412,6,576,0,175000
21,1680,6,5,1971,483,483,504,987,4,264,0,85400
60,5586,6,7,1920,901,1088,110,1198,7,0,0,79900
24,1920,5,5,1971,765,765,600,1365,6,440,0,122500
100,10839,6,5,1997,926,926,678,1604,7,470,0,181000
21,1890,4,7,1972,630,630,0,630,3,0,0,81000
43,10667,7,6,1996,799,827,834,1661,6,550,0,212000
40,4400,6,8,1920,648,734,384,1118,6,440,0,116000
50,6000,6,7,1926,884,904,0,904,4,180,0,119000
40,4280,5,6,1913,440,694,0,694,4,352,0,90350
67,12354,6,8,1920,684,684,512,1196,7,528,0,110000
105,15431,10,5,2008,3094,2402,0,2402,10,672,0,555000
